Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
03cfd153-5027-473f-8db7-b9c843d3a861,"2020-08-04, 10:23:42 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
19ff3825-c4bd-45b5-b9e7-47fe63822e31,"2020-08-04, 10:23:42 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
ab5fd54f-f044-4e5d-8aa8-8f05f24637ba,"2020-08-04, 10:23:38 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
5147b36c-111d-4939-aa3c-2675feadb271,"2020-08-04, 10:23:37 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
d49c44b1-69d4-4d08-9bc7-dee4b10d3d24,"2020-08-04, 10:23:30 AM",Accountant,ChangePassword,,,,us-east-1,,102.67.34.198
da4b2081-567d-4d31-bb1c-2eb909a4ee0a,"2020-08-04, 10:23:15 AM",Accountant,ChangePassword,,,,us-east-1,AccessDenied,102.67.34.198
c6439699-3492-4db6-aa89-288ca9e5b492,"2020-08-04, 10:22:28 AM",Accountant,ListAccessKeys,,,,us-east-1,AccessDenied,102.67.34.198
cb0c29d5-3f3e-4d10-968e-3b006271e5c6,"2020-08-04, 10:22:28 AM",Accountant,GetUser,,,,us-east-1,AccessDenied,102.67.34.198
0c1956f1-dcb0-4d8f-9048-8a883a7e25ee,"2020-08-04, 10:22:27 AM",Accountant,GetAccountPasswordPolicy,,,,us-east-1,,102.67.34.198
f6771076-1fb7-4cff-a50d-ce14eaecec7d,"2020-08-04, 10:22:27 AM",Accountant,ListSigningCertificates,,,,us-east-1,AccessDenied,102.67.34.198
37d3705a-28ee-4cfa-ae2e-e892e69746f5,"2020-08-04, 10:22:26 AM",Accountant,ListAccountAliases,,,,us-east-1,AccessDenied,102.67.34.198
6d364748-9ebe-4595-844d-de30f1f9b01d,"2020-08-04, 10:22:26 AM",Accountant,GetAccountPasswordPolicy,,,,us-east-1,,102.67.34.198
80a2ce1e-6793-41fd-b652-e149cccf00ce,"2020-08-04, 10:22:26 AM",Accountant,ListAccessKeys,,,,us-east-1,AccessDenied,102.67.34.198
c9bc1467-5fb5-49ee-a192-69835153bc38,"2020-08-04, 10:22:26 AM",Accountant,GetAccountSummary,,,,us-east-1,AccessDenied,102.67.34.198
3290b43a-1713-4285-b219-cbefc186471f,"2020-08-04, 10:21:58 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
630335d7-2cd1-4dc9-865f-43915c4e90c5,"2020-08-04, 10:21:58 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
9723a37c-7f7a-4d4b-9413-0deb6c581bbc,"2020-08-04, 10:21:57 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
d43b7595-5611-42f1-a758-9344737d4b5f,"2020-08-04, 10:21:57 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
2e248a59-86fb-4c7e-a3ab-982478758ee6,"2020-08-04, 10:21:14 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
e56d0434-bc8e-4921-894d-9d6aea555529,"2020-08-04, 10:21:12 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
2f8d4170-fbdd-4e61-80dd-6ac925169e72,"2020-08-04, 10:21:08 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
85ad8a9c-ca94-4a5e-92d9-9990d02c77b0,"2020-08-04, 10:21:07 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
0159b97e-e4c1-4298-a57b-72056ab6e0cf,"2020-08-04, 10:21:06 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
7ac5429f-f30d-47b6-95f9-24cdc5679f53,"2020-08-04, 10:21:06 AM",CloudTrail,LookupEvents,,,,us-east-2,,212.103.48.115
0e06da53-4049-47b5-9fa1-282e3065c837,"2020-08-04, 10:20:33 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
f5ff7df2-1191-44c3-9768-1287876a180a,"2020-08-04, 10:20:33 AM",CloudTrail,DescribeConfigurationRecorders,,,,us-east-2,AccessDenied,212.103.48.115
